Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.01,0.07,-0.24,69.16,28,-45.78
-1.08,0.06,-0.26,67.83,24.01,-49.77
-1.13,0.03,-0.31,65.52,19.39,-53.27
-1.19,-0.01,-0.37,68.81,16.87,-53.97
-1.2,0.01,-0.42,69.02,14.35,-54.81
-1.17,0.03,-0.47,72.45,12.74,-54.46
-1.11,0.07,-0.49,74.83,14.56,-54.18
-1.07,0.11,-0.51,73.29,15.47,-55.23
-1.01,0.16,-0.5,66.01,15.26,-57.54
-0.99,0.19,-0.47,58.59,14.42,-61.25
-0.96,0.21,-0.44,47.74,14.42,-65.87
-0.96,0.21,-0.39,39.9,12.67,-72.87
-0.97,0.2,-0.34,35.63,11.06,-77.49
-0.99,0.2,-0.28,33.53,8.96,-81.2
-0.98,0.19,-0.24,29.68,8.75,-82.39
-0.98,0.18,-0.18,25.13,10.01,-82.95
-0.93,0.1,-0.21,27.3,11.48,-84.42
-0.91,0.02,-0.29,39.62,17.43,-83.51
-0.81,-0.17,-0.36,71.75,15.68,-76.44
-0.73,-0.09,-0.41,96.67,22.19,-69.93
-0.77,-0.03,-0.43,91.14,17.43,-69.72
-0.74,0,-0.37,48.02,15.54,-73.43
-0.74,-0.04,-0.34,24.43,20.09,-73.08
-0.78,-0.03,-0.29,11.13,23.38,-70.63
-0.83,0.01,-0.24,12.25,26.46,-68.67
-0.87,0.06,-0.23,15.05,24.64,-65.94
-0.89,0.13,-0.19,13.58,27.16,-64.47
-0.92,0.15,-0.17,10.64,28.42,-64.26
-0.92,0.14,-0.2,4.83,26.81,-65.03
-0.91,0.08,-0.28,2.66,26.88,-63.77
-0.91,0.06,-0.34,-0.21,27.51,-61.18
-0.9,-0.02,-0.37,-3.57,28.07,-56.91
-0.89,-0.08,-0.36,-10.85,28.28,-53.69
-0.89,-0.11,-0.34,-18.13,31.78,-51.87
-0.89,-0.12,-0.33,-21.84,34.02,-49.35
-0.92,-0.1,-0.31,-20.86,32.97,-45.01
-0.95,-0.09,-0.32,-15.89,28,-40.32
-0.99,-0.07,-0.32,-9.45,21.07,-39.27
-1,-0.04,-0.31,-9.03,11.62,-37.87
-1,-0.01,-0.3,-9.73,5.74,-35.91
-0.99,0,-0.31,-11.83,3.29,-33.53
-0.98,0,-0.32,-13.79,0.28,-32.55
-0.95,0,-0.32,-16.38,-3.08,-33.25
-0.89,-0.04,-0.37,-18.9,-1.82,-38.78
-0.88,-0.07,-0.34,-16.94,-6.09,-42.49
-0.82,-0.12,-0.36,-12.53,-7.98,-42.63
-0.77,-0.18,-0.39,-10.5,-4.9,-42.14
-0.8,-0.23,-0.42,-7.84,-3.43,-41.37
-0.81,-0.31,-0.47,-0.56,-2.45,-41.3
-0.85,-0.38,-0.54,6.09,-0.77,-42.14
-0.91,-0.35,-0.6,0.63,1.33,-45.22
-1,-0.29,-0.63,-12.46,3.57,-50.61
-1.14,-0.24,-0.69,-24.99,3.85,-54.18
-1.27,-0.24,-0.71,-30.87,1.96,-53.69
-1.35,-0.29,-0.63,-27.3,-1.68,-48.23
-1.42,-0.42,-0.44,-11.48,-7.91,-36.61
-1.41,-0.53,-0.34,8.82,-13.65,-24.43
-1.4,-0.57,-0.33,29.47,-17.85,-13.86
-1.42,-0.47,-0.34,41.65,-22.4,-2.8
-1.45,-0.35,-0.36,44.03,-30.8,4.62
-1.43,-0.23,-0.3,40.95,-37.45,13.16
-1.4,-0.15,-0.22,34.23,-44.24,25.2
-1.36,-0.1,-0.15,34.09,-49.98,40.25
-1.31,-0.04,-0.11,35.49,-54.11,55.86
-1.29,0.03,-0.1,36.33,-57.05,74.55
-1.29,0.13,-0.1,36.75,-57.19,87.78
-1.28,0.2,-0.13,34.72,-52.43,98.77
-1.31,0.25,-0.2,29.68,-45.64,106.75
-1.34,0.27,-0.26,29.54,-35.49,115.01
-1.34,0.29,-0.3,27.23,-30.31,122.43
-1.37,0.24,-0.29,24.5,-34.02,127.75
-1.4,0.19,-0.33,19.74,-43.75,131.04
-1.36,0.1,-0.37,14.42,-53.97,130.62
-1.31,0,-0.4,8.19,-65.66,126.42
-1.26,-0.16,-0.45,-2.45,-67.9,122.99
-1.22,-0.34,-0.48,-11.83,-63.07,119.7
-1.18,-0.46,-0.42,-13.3,-55.3,118.65
-1.14,-0.45,-0.37,-17.85,-46.97,117.95
-1.04,-0.39,-0.36,-21.35,-39.69,122.01
-0.97,-0.31,-0.32,-31.57,-25.69,126.91
-0.95,-0.27,-0.28,-31.29,-15.68,132.79
-0.97,-0.2,-0.31,-29.54,-13.72,135.73
-0.92,-0.16,-0.3,-28.49,-7.14,135.94
-0.94,-0.09,-0.3,-26.04,-4.55,136.5
-0.96,-0.03,-0.25,-25.55,-10.64,142.31
-0.96,0.06,-0.3,-23.03,-14.56,142.8
-0.97,0.1,-0.35,-31.85,-22.75,138.88
-0.93,0.22,-0.36,-42.77,-30.94,131.67
-0.94,0.27,-0.35,-57.89,-41.44,124.95
-0.95,0.33,-0.32,-66.85,-49.42,117.32
-0.97,0.38,-0.27,-86.52,-57.19,107.87
-0.92,0.32,-0.25,-101.22,-59.78,95.62
-0.9,0.25,-0.24,-113.96,-60.06,85.26
-0.81,0.14,-0.29,-125.44,-64.68,78.12
-0.75,0.05,-0.31,-130.34,-69.58,73.22
-0.72,-0.01,-0.28,-134.54,-74.62,70.7
-0.69,-0.07,-0.23,-133.21,-76.37,68.81
-0.66,-0.13,-0.21,-128.94,-75.11,67.62
-0.61,-0.17,-0.18,-121.73,-69.72,67.13
-0.57,-0.17,-0.14,-113.05,-62.51,65.45
-0.52,-0.19,-0.12,-100.03,-57.89,64.26
-0.49,-0.17,-0.08,-83.23,-53.62,62.58
-0.48,-0.15,-0.03,-72.66,-47.95,60.62
-0.45,-0.14,-0.02,-63.63,-40.32,57.96
-0.44,-0.1,-0.02,-56.63,-32.41,54.74
-0.44,-0.05,-0.01,-49.21,-24.08,50.26
-0.45,0,0,-42.63,-16.1,45.71
-0.48,0.05,0.01,-38.36,-10.36,37.38
-0.51,0.09,0.01,-34.16,-4.13,28.42
-0.53,0.13,0.02,-30.38,-0.07,19.67
-0.54,0.13,0.05,-27.44,3.71,11.34
-0.54,0.14,0.07,-22.89,7.91,3.92
-0.55,0.16,0.09,-16.03,13.37,0.84
-0.6,0.18,0.12,-7.28,19.32,-1.33
-0.63,0.21,0.14,0.28,22.68,-2.73
-0.66,0.24,0.14,7.77,25.27,-4.34
-0.68,0.27,0.14,12.88,26.46,-5.46
-0.71,0.31,0.13,16.87,26.81,-6.86
-0.74,0.36,0.12,19.53,27.02,-7.77
-0.76,0.38,0.13,21.14,27.72,-9.73
-0.8,0.38,0.13,21.42,29.33,-11.9
-0.82,0.36,0.13,21.49,30.17,-14.49
-0.82,0.35,0.11,21.07,30.87,-17.78
-0.81,0.36,0.08,20.09,31.64,-22.05
-0.8,0.35,0.08,20.44,32.97,-28.63
-0.86,0.34,0.22,25.97,28.28,-28.7
-0.97,0.46,0.39,34.09,22.68,-20.02
-1.04,0.64,0.41,35.77,39.97,-10.78
-1.15,0.81,0.24,13.65,64.68,-7.07
-1.27,0.93,-0.04,-11.9,75.74,-11.9
-1.37,0.99,-0.28,-16.38,64.12,-21.84
-1.44,0.97,-0.23,-10.92,33.6,-38.36
-1.36,0.77,-0.03,-19.39,15.05,-56.7
-1.2,0.37,0.07,-37.94,11.9,-75.95
-1.01,0.04,0.03,-47.18,13.02,-80.85
-0.71,-0.18,-0.08,-49.49,38.36,-77
-0.65,-0.23,-0.23,-21.84,65.24,-73.64
-0.66,-0.11,-0.5,10.15,77.35,-66.71
-0.73,0.08,-0.53,30.94,77.49,-54.04
-0.9,0.22,-0.41,46.55,74.13,-43.82
-1.16,0.36,-0.31,51.17,71.89,-38.57
-1.29,0.36,-0.26,37.94,65.87,-42
-1.3,0.29,-0.29,23.38,61.74,-48.65
-1.24,0.16,-0.37,18.41,59.43,-55.51
-1.17,0.06,-0.42,26.67,59.15,-57.47
-1.07,0.01,-0.39,39.69,57.19,-55.86
-0.88,0.03,-0.37,52.29,55.44,-52.71
-0.93,0.01,-0.34,58.8,52.5,-50.68
-0.92,0,-0.3,65.8,47.18,-48.16
-0.93,-0.02,-0.3,72.24,41.72,-46.41
-0.96,-0.04,-0.33,80.08,36.54,-43.82
-0.98,-0.04,-0.37,86.1,31.99,-42.07
-1.01,-0.05,-0.42,91,27.86,-41.16
-1.02,-0.03,-0.45,94.08,26.32,-40.53
-1.05,-0.02,-0.48,93.45,24.99,-41.16
-1.06,0.02,-0.49,88.83,25.41,-41.44
-1.06,0.07,-0.48,84.77,26.67,-42.63
-1.07,0.12,-0.43,79.66,25.55,-45.64
-1.06,0.19,-0.43,75.11,22.68,-50.47
-1.03,0.24,-0.44,68.81,18.83,-54.32
-0.98,0.26,-0.44,59.99,17.78,-59.15
-0.95,0.28,-0.45,47.81,18.55,-64.4
-0.96,0.28,-0.44,38.71,18.9,-70.42
-0.99,0.27,-0.35,33.6,17.64,-77.35
-1.02,0.24,-0.24,29.26,17.5,-83.09
-0.98,0.17,-0.22,35.7,14.14,-82.39
-0.92,0.03,-0.26,52.29,15.96,-79.59
-0.91,0.04,-0.22,61.6,16.17,-80.64
-0.85,-0.01,-0.29,65.94,14.35,-75.81
-0.84,-0.03,-0.25,63.84,20.02,-71.89
-0.83,-0.07,-0.27,65.03,23.94,-67.34
-0.76,-0.11,-0.25,62.23,29.33,-60.48
-0.74,-0.08,-0.32,49.35,26.6,-56.07
-0.74,-0.07,-0.3,39.83,23.59,-54.95
-0.76,-0.07,-0.26,37.1,24.01,-52.78
-0.81,0,-0.22,33.04,26.11,-50.54
-0.89,0.03,-0.17,33.74,31.57,-48.23
-0.96,0.1,-0.18,30.17,33.95,-45.85
-1.03,0.1,-0.21,30.1,32.55,-43.75
-1.03,0.11,-0.26,33.04,27.37,-39.55
-0.98,0.13,-0.31,36.75,22.89,-34.93
-0.94,0.1,-0.38,35.56,20.58,-30.38
-0.89,0.06,-0.44,28.21,20.79,-28.49
-0.85,0.05,-0.44,18.62,24.22,-30.1
-0.83,0.05,-0.44,5.39,26.6,-33.6
-0.82,0.05,-0.42,-2.03,30.8,-36.47
-0.88,0.08,-0.39,-6.37,32.27,-36.19
-0.93,0.06,-0.37,-8.82,31.43,-39.06
-0.95,0.05,-0.33,-16.8,28.63,-41.86
-1.02,0.01,-0.28,-18.41,21.98,-42.84
-1.03,-0.01,-0.21,-15.68,10.85,-40.25
-0.99,-0.03,-0.24,-11.2,3.78,-36.26
-0.96,-0.05,-0.28,-5.53,0.28,-34.58
-0.89,-0.03,-0.31,2.38,-4.55,-31.64
-0.83,-0.04,-0.37,6.37,-3.85,-28.7
-0.81,-0.06,-0.41,7.35,-1.82,-25.97
-0.82,-0.1,-0.45,9.1,-1.61,-23.59
-0.85,-0.14,-0.46,10.36,-2.03,-22.26
-0.87,-0.2,-0.46,11.27,-2.8,-21.42
-0.89,-0.24,-0.47,12.74,-3.22,-22.33
-0.87,-0.28,-0.48,14.91,-2.87,-23.94
-0.86,-0.32,-0.49,16.17,-2.03,-26.53
-0.86,-0.36,-0.5,18.48,-2.17,-28.91
-0.88,-0.4,-0.5,21.14,-1.68,-30.59
-0.93,-0.46,-0.54,23.38,-0.98,-32.34
-0.99,-0.44,-0.62,18.06,-0.21,-38.01
-1.06,-0.4,-0.69,6.3,1.68,-44.31
-1.15,-0.38,-0.74,-4.55,0.07,-50.19
-1.18,-0.42,-0.75,-8.47,-1.05,-53.13
-1.25,-0.45,-0.7,-8.75,-2.87,-53.48
-1.31,-0.46,-0.54,-5.67,-5.6,-49.49
-1.34,-0.5,-0.45,6.09,-8.82,-39.06
-1.33,-0.51,-0.38,20.23,-11.55,-29.54
-1.32,-0.5,-0.35,32.48,-15.19,-22.26
-1.31,-0.43,-0.32,42,-19.18,-14.21
-1.3,-0.29,-0.3,47.6,-23.66,-4.34
-1.29,-0.14,-0.3,47.18,-28.98,5.81
-1.26,-0.03,-0.26,45.15,-33.95,16.8
-1.22,0.06,-0.24,39.9,-38.29,28.77
-1.18,0.11,-0.23,32.76,-41.58,36.89
-1.16,0.12,-0.24,24.15,-43.75,44.52
-1.18,0.12,-0.26,16.45,-44.87,52.78
-1.2,0.13,-0.27,9.38,-44.8,61.95
-1.26,0.12,-0.26,4.13,-45.64,71.19
-1.33,0.15,-0.24,-1.26,-47.39,81.41
-1.33,0.2,-0.24,-3.85,-46.48,95.41
-1.32,0.19,-0.25,7.42,-38.71,106.68
-1.32,0.2,-0.24,12.88,-36.33,111.16
-1.34,0.17,-0.27,6.86,-43.4,112.77
-1.3,0.12,-0.33,-1.96,-52.15,113.26
-1.25,0.04,-0.41,-4.69,-59.99,113.82
-1.23,-0.07,-0.46,-4.69,-68.04,113.75
-1.19,-0.22,-0.52,-5.74,-69.86,111.86
-1.15,-0.24,-0.6,-13.3,-62.09,108.43
-1.04,-0.3,-0.55,-27.16,-58.45,105
-0.88,-0.29,-0.52,-47.46,-49.42,114.52
-0.88,-0.21,-0.26,-56.56,-38.85,130.55
-0.94,-0.2,-0.18,-58.59,-21.7,149.17
-0.95,-0.22,-0.03,-57.19,11.48,169.4
-1.09,-0.17,-0.03,-55.79,33.6,176.4
-1.15,-0.2,-0.18,-53.9,25.83,183.68
-1.17,-0.18,-0.43,-50.33,2.45,190.96
-1.06,-0.12,-0.69,-59.92,-10.29,188.51
-1.02,-0.01,-0.74,-43.61,-22.89,190.33
-1.18,0.24,-0.6,-29.54,-47.74,192.22
-1.12,0.4,-0.43,-26.95,-57.75,182.14
-1.1,0.46,-0.18,-46.69,-60.97,166.67
-1.12,0.51,-0.04,-86.66,-65.66,146.16
-1.01,0.42,-0.07,-141.12,-66.92,121.87
-0.91,0.27,-0.26,-166.74,-77.42,101.85
-0.79,0.12,-0.37,-178.22,-87.36,87.08
-0.73,-0.04,-0.43,-174.3,-95.69,75.18
-0.7,-0.12,-0.34,-167.93,-104.72,64.12
-0.62,-0.18,-0.25,-167.51,-108.01,50.54
-0.51,-0.29,-0.17,-169.4,-104.16,39.13
-0.4,-0.44,-0.2,-149.73,-95.97,34.3
-0.31,-0.54,-0.18,-124.25,-88.9,32.2
-0.21,-0.52,-0.11,-105.07,-79.38,30.45
-0.18,-0.47,-0.03,-88.06,-69.09,31.64
-0.14,-0.38,0,-67.55,-51.59,36.75
-0.22,-0.27,0.02,-51.87,-31.85,35.91
-0.27,-0.13,0.01,-40.95,-21,33.6
-0.32,0.02,-0.02,-33.53,-11.69,28.21
-0.39,0.14,-0.03,-29.89,-4.34,21.21
-0.45,0.21,-0.02,-27.09,1.12,12.46
-0.49,0.24,0,-22.54,5.95,1.61
-0.51,0.25,0.04,-15.68,9.66,-5.81
-0.53,0.25,0.07,-8.75,14.35,-12.32
-0.55,0.26,0.08,-1.68,17.92,-17.5
-0.56,0.25,0.1,2.8,21.98,-23.17
-0.57,0.23,0.12,6.3,26.53,-28.28
-0.58,0.19,0.12,11.2,30.94,-32.06
-0.6,0.14,0.13,16.59,36.12,-36.33
-0.59,0.1,0.14,21.35,45.71,-40.11
-0.69,0.06,0.29,28.91,47.6,-42.28
-0.96,0.18,0.63,50.96,37.24,-27.51
-1.05,0.6,0.68,58.52,66.08,-3.08
-1.3,0.89,0.22,29.68,106.82,1.89
-1.58,0.76,-0.28,-0.42,102.97,-9.94
-1.68,0.84,-0.46,16.45,72.8,-14.98
-1.76,0.87,-0.3,17.15,29.54,-25.97
-1.6,0.7,0,-4.62,11.76,-43.4
-1.26,0.47,0.1,-28.14,7.35,-60.97
-0.86,0.09,0.01,-42.49,17.57,-66.85
-0.64,-0.16,-0.03,-31.92,39.97,-68.04
-0.61,-0.16,-0.24,1.96,57.61,-68.81
-0.67,-0.07,-0.33,32.76,67.62,-63.7
-0.97,0.02,-0.32,55.86,78.4,-51.66
-1.19,0.15,-0.4,62.02,77.91,-41.65
-1.31,0.22,-0.46,55.58,70.91,-37.45
-1.33,0.25,-0.43,49.7,62.51,-39.13
-1.25,0.22,-0.38,48.09,56.49,-44.94
-1.16,0.17,-0.33,51.03,56.91,-52.71
-1.07,0.14,-0.3,55.93,59.5,-55.51
-0.97,0.1,-0.31,60.76,58.87,-54.46
-0.93,0.07,-0.31,70.56,56.77,-51.94
-0.9,0.06,-0.34,80.36,49.91,-47.53
-0.89,0.06,-0.36,88.55,43.26,-44.66
-0.91,0.05,-0.36,92.82,38.71,-44.66
-0.95,0.06,-0.37,90.3,36.4,-46.9
-1.03,0.05,-0.43,84.98,31.22,-50.05
-1.07,0.06,-0.45,78.05,28.49,-51.8
-1.1,0.05,-0.48,72.38,27.58,-53.69
-1.11,0.05,-0.48,74.34,26.39,-54.88
-1.1,0.09,-0.49,76.44,23.73,-55.3
-1.1,0.15,-0.45,73.08,21.35,-57.75
-1.07,0.18,-0.41,67.41,19.53,-60.27
-1,0.21,-0.36,58.52,21.63,-62.09
-0.97,0.22,-0.32,49.91,25.55,-64.26
-0.95,0.23,-0.28,46.83,23.45,-67.2
-0.95,0.22,-0.24,47.53,19.95,-72.1
-0.94,0.17,-0.23,52.01,18.9,-76.37
-0.94,0.12,-0.29,52.29,17.99,-78.75
-0.9,0.12,-0.3,51.59,16.24,-79.59
-0.91,0.03,-0.33,47.74,16.03,-78.75
-0.8,-0.05,-0.34,66.5,17.36,-73.15
-0.78,-0.04,-0.32,71.12,21.7,-67.62
-0.78,-0.06,-0.26,70.21,26.88,-62.86
-0.79,-0.03,-0.18,62.44,30.45,-59.64
-0.79,-0.06,-0.21,56.07,28.84,-56.56
-0.82,-0.06,-0.24,49.56,24.78,-52.85
-0.83,-0.04,-0.24,50.61,23.45,-48.86
-0.86,0.01,-0.24,53.27,24.08,-45.5
-0.9,0.08,-0.24,49.35,24.15,-43.68
-0.93,0.12,-0.28,41.09,22.54,-42.7
-0.92,0.13,-0.29,35.21,21.49,-41.3
-0.94,0.19,-0.28,32.62,20.44,-39.27
-0.96,0.2,-0.29,31.64,17.78,-36.4
-0.96,0.2,-0.33,25.62,19.04,-34.79
-0.95,0.15,-0.38,18.55,20.93,-32.83
-0.94,0.11,-0.42,16.8,22.75,-32.27
-0.92,0.07,-0.44,14.77,23.38,-31.29
-0.89,0.04,-0.43,8.68,23.94,-30.24
-0.86,-0.01,-0.43,0.91,26.04,-30.94
-0.87,-0.05,-0.4,-6.23,29.12,-31.08
-0.9,-0.11,-0.37,-15.26,31.29,-31.15
-0.93,-0.17,-0.35,-12.25,31.85,-30.59
-0.94,-0.2,-0.34,-4.27,29.47,-28.84
-0.92,-0.21,-0.36,0.91,23.45,-27.58
-0.95,-0.21,-0.38,3.15,16.52,-30.66
-0.9,-0.19,-0.4,1.82,12.81,-32.76
-0.88,-0.15,-0.4,0,11.97,-31.15
-0.89,-0.12,-0.39,-2.03,12.74,-29.4
-0.92,-0.08,-0.36,-2.94,10.71,-27.58
-0.95,-0.07,-0.32,1.4,5.46,-24.99
-0.94,-0.06,-0.33,6.79,0.63,-20.79
-0.92,-0.06,-0.36,12.18,-1.4,-17.92
-0.88,-0.06,-0.4,15.4,-0.63,-16.66
-0.86,-0.08,-0.44,16.59,0.49,-16.38
-0.86,-0.1,-0.46,17.71,0.98,-16.52
-0.85,-0.13,-0.46,18.13,0.98,-17.36
-0.85,-0.17,-0.45,18.06,1.26,-18.97
-0.86,-0.23,-0.45,19.6,1.26,-20.37
-0.88,-0.29,-0.46,23.1,1.33,-20.44
-0.93,-0.3,-0.48,22.47,1.68,-21.63
-0.99,-0.22,-0.54,9.24,2.03,-23.45
-1.06,-0.18,-0.6,-3.01,1.47,-25.41
-1.12,-0.19,-0.62,-10.01,-0.84,-25.48
-1.16,-0.24,-0.6,-13.09,-2.24,-23.31
-1.19,-0.33,-0.55,-10.43,-2.8,-20.86
-1.21,-0.39,-0.5,-2.52,-1.4,-18.34
-1.23,-0.41,-0.49,6.44,0.21,-16.31
-1.28,-0.4,-0.5,14.98,-1.26,-15.82
-1.3,-0.38,-0.52,18.06,-4.2,-15.33
-1.31,-0.35,-0.53,16.38,-7.21,-15.47
-1.3,-0.32,-0.49,12.32,-11.34,-14.84
-1.26,-0.28,-0.43,10.57,-16.1,-11.34
-1.23,-0.24,-0.39,11.27,-22.68,-4.69
-1.18,-0.2,-0.34,14,-27.3,4.2
-1.16,-0.14,-0.3,16.52,-31.78,14.63
-1.13,-0.08,-0.27,17.57,-35.21,25.06
-1.12,-0.01,-0.27,17.29,-38.64,34.79
-1.14,0.05,-0.26,15.75,-42.91,45.29
-1.16,0.1,-0.25,14.42,-47.04,53.27
-1.16,0.13,-0.26,13.02,-47.46,60.48
-1.16,0.19,-0.28,8.33,-42.28,67.2
-1.17,0.23,-0.31,1.68,-37.17,74.06
-1.2,0.3,-0.32,-4.2,-35.63,81.97
-1.24,0.33,-0.31,-1.54,-37.94,92.4
-1.21,0.35,-0.37,-0.07,-38.71,102.97
-1.24,0.3,-0.39,0.77,-45.22,108.57
-1.24,0.21,-0.45,-0.77,-56.63,113.82
-1.19,0.15,-0.52,-13.09,-61.18,116.41
-1.13,0.08,-0.59,-27.79,-56.28,117.53
-1.21,-0.1,-0.51,-20.72,-49.63,120.05
-1.25,-0.19,-0.48,-17.64,-46.48,118.72
-1.26,-0.32,-0.41,-18.13,-45.43,117.11
-1.16,-0.25,-0.37,-27.37,-38.64,118.09
-1.1,-0.25,-0.27,-37.87,-25.69,121.38
-0.98,-0.24,-0.21,-38.01,-16.24,132.02
-1.01,-0.21,-0.19,-42.49,-5.74,137.06
-1.01,-0.16,-0.23,-50.75,-0.07,138.88
-1.03,-0.1,-0.25,-54.46,-0.63,143.78
-1.12,0.02,-0.3,-54.04,-12.74,150.36
-1.13,0.06,-0.37,-52.99,-19.81,148.96
-1.12,0.17,-0.52,-63.84,-27.02,144.9
-1.12,0.21,-0.59,-72.94,-42.21,138.25
-1.08,0.3,-0.49,-74.97,-53.83,135.52
-1.03,0.28,-0.46,-81.62,-65.38,123.97
-1.04,0.38,-0.36,-98.56,-69.09,109.55
-1.04,0.31,-0.36,-118.58,-84.91,99.19
-0.93,0.28,-0.28,-135.87,-94.57,87.71
-0.87,0.17,-0.3,-157.29,-103.25,75.04
-0.79,0.07,-0.34,-165.55,-106.33,65.94
-0.71,-0.03,-0.32,-169.47,-110.11,59.29
-0.63,-0.17,-0.28,-164.01,-113.61,51.1
-0.51,-0.32,-0.23,-157.43,-111.58,44.24
-0.39,-0.45,-0.19,-147.84,-104.23,39.55
-0.31,-0.52,-0.18,-112.91,-96.74,38.22
-0.23,-0.51,-0.18,-100.17,-81.48,40.18
-0.2,-0.48,-0.11,-78.61,-69.3,38.92
-0.21,-0.37,-0.05,-60.69,-54.32,37.59
-0.26,-0.19,-0.02,-47.74,-41.51,35.63
-0.31,-0.03,-0.03,-40.32,-32.48,32.13
-0.34,0.07,-0.03,-35.84,-21.21,26.46
-0.34,0.11,-0.02,-30.73,-11.62,20.16
-0.35,0.14,0,-21.28,-2.87,16.1
-0.39,0.16,0.04,-13.02,3.36,12.53
-0.45,0.2,0.08,-7.49,7.56,7.49
-0.52,0.22,0.13,-3.99,10.29,0
